index|quem|o_que|quando|onde|por_que|como|cibercrime|tipo
186|vítima: autor do relato|processo contra Meta|andamento|Facebook/WhatsApp|negação de dados|decisão judicial |N|
187|vítima: autor do relato|e-mail do FBI falso|recentemente|e-mail|indenização falsa|golpe internacional |S|outros cibercrimes
188|vítima: autor do relato|consoles sem imposto|recentemente|OLX/Marketplace|preço abaixo|galpão fictício |S|outros cibercrimes
189|vítima: avó do autor|golpe do prêmio|recentemente|site falso|taxa para receber|valor reduzido |S|outros cibercrimes
190|vítima: autor do relato|e-mails falsos no trabalho|constante|e-mail corporativo|phishing|resistência de colegas |S|outros cibercrimes
191|vítima: autor do relato|mensagem estranha no FB|recentemente|Facebook Direct|abordagem incomum|método desconhecido |S|outros cibercrimes
192|vítima: autor do relato|golpe do aluguel|recentemente|anúncios online|herdeiro fictício|caução antecipada |S|outros cibercrimes
193|vítima: autor do relato|vazamento por MEI|recorrente|e-mail|phishing pós-vazamento|dados expostos |S|outros cibercrimes
194|vítima: autor do relato|golpe do PayPal|recentemente|transação internacional|bloqueio falso|depósito adicional |S|cibercrime bancario
195|vítima: autor do relato|reunião em hotel|recentemente|curso grátis|local suspeito|risco não claro |N|
196|vítima: autor do relato|grupos de golpe no Telegram|recentemente|Telegram|coleta de PIX|bots e perfis falsos |N|
197|vítima: autor do relato|troca de Xbox suspeita|pretendido|Marketplace|oferta ""boa demais""|golpe do Enjoei" |N|
198|vítima: pai do autor|golpe da ""taxa de residência""|ontem|telefone|ameaças do CV|PIX sob coerção" |S|outros cibercrimes
199|vítima: autor do relato|compra não reconhecida|recentemente|cartão clonado|local inconsistente|fraude |S|cibercrime bancario
200||||||N|
201|vítima: autor do relato|SMS suspeito|recentemente|mensagem de texto|endereço desconhecido|link perigoso? |S|outros cibercrimes
202|vítima: autor do relato|phishing da Receita|19/05|e-mail da EGS Sistemas|site falso do Gov|roubo de dados |S|outros cibercrimes
203|vítima: autor do relato|motorista de má-fé|19/05|Uber|rota alterada|cobrança extra |N|
204|vítima: autor do relato|golpe com baixa probabilidade|recentemente|canal desconhecido|esperança de ganho|risco alto |N|
205|vítima: pai do autor|ligação sobre compra falsa|recentemente|telefone|alerta de valor alto|pedido de cartão |S|cibercrime bancario
206|vítima: autor do relato|oferta de investimento irreal|recentemente|redes sociais|promessa exagerada|esquema duvidoso |S|outros cibercrimes
207|vítima: autor do relato|golpe da ""benção financeira""|recentemente|Instagram/Telegram|pedido de PayPal|método desconhecido" |S|outros cibercrimes
208|vítima: irmã do autor|ameaça de traficante|recentemente|ligação telefônica|dados pessoais|sem pedido de dinheiro |N|
209|vítima: autor do relato|pedido de tradução suspeito|recentemente|canal desconhecido|valor/prazo absurdos|intenção obscura |N|
210|vítima: autor do relato|golpe com notas falsas|quarta-feira|OLX (presencial)|pressa na transação|impacto emocional grave |N|
211|vítima: autor do relato|bloqueio após contato|recentemente|redes sociais|serviço não solicitado|motivação desconhecida |N|
212|vítima: autor do relato|pedido de cancelamento|recentemente|Amazon/WhatsApp|loja solicitando ação|envio não disponível |N|
213|vítima: autor do relato|risco com carteira cripto|recentemente|YouTube|exposição de chaves|possível roubo |S|outros cibercrimes
214|vítima: mãe do autor|golpe em app de live|recentemente|Kako Live|compra de coins|similar a Tigrinho |S|outros cibercrimes
215|vítima: autor do relato|contatos estrangeiros|recorrente|mensagens|perguntas genéricas|intenção desconhecida |N|
216|vítima: pai do colega|ameaça com vídeo armado|recentemente|áudio/WhatsApp|cobrança de ""calção""|risco real ou golpe" |N|
217|vítima: autor do relato|golpe recorrente|recentemente|canal desconhecido|persistência|método não especificado |N|
218|vítima: autor do relato|proposta de compra OLX|recorrente|OLX|PIX + Uber|risco de golpe |S|cibercrime bancario
219|vítima: irmão do autor|golpe por link|recentemente|OLX/e-mail|acesso à conta bancária|roubo via PIX |S|cibercrime bancario
220|vítima: autor do relato|coleta de IMEI|recentemente|loja Samsung|""bater metas""|risco de clonagem" |S|outros cibercrimes
221|vítima: autor do relato|golpe do troco|meses atrás|supermercado|notas trocadas|confusão calculada |N|
222|vítima: autor do relato|reserva suspeita no Airbnb|recentemente|Airbnb|hóspede inconsistente|documentos falsos |S|outros cibercrimes
223|vítima: autor do relato|golpe de sushi delivery|recentemente|Instagram|perfis recentes|PIX obrigatório |N|
224|vítima: autor do relato|vazamento de número|recentemente|grupos de golpistas|contatos indesejados|risco não especificado |N|
225|vítima: autor do relato|ameaça de entregador|recentemente|Shopee|produto não entregue|intimidação |N|
226|vítima: autor do relato|dúvida sobre envio OLX|pretendido|OLX|entrega presencial vs correio|perda de garantia |N|
227|vítima: autor do relato|compras não autorizadas|recentemente|loja online|endereços reais|esquema complexo |S|cibercrime bancario
228|vítima: autor do relato|tentativa de golpe|recentemente|canal desconhecido|fraude óbvia|rejeição |N|
229|vítima: autor do relato|anúncio suspeito|recentemente|plataforma desconhecida|aparência fraudulenta|risco alto |S|outros cibercrimes
230|vítima: autor do relato|golpe da ""bolsa de leitura""|recentemente|telefone corporativo|dados bancários vazados|falha grave" |S|cibercrime bancario
231|vítima: autor do relato|e-mail para cadastros|N/A|N/A|prevenção de spam|N/A |N|
232|vítima: autor do relato|golpe freelance|recentemente|Behance/WhatsApp|taxa de transferência|empresa falsa |S|outros cibercrimes
233|vítima: autor do relato|e-mail em japonês|recentemente|spam|companhia de gás falsa|phishing incomum |N|
234|vítima: autor do relato|golpe de alfândega|recentemente|e-mail/spam|retenção de produto|vazamento de dados? |S|outros cibercrimes
235|vítima: autor do relato|contato após cadastro|recentemente|Porto/Allianz|venda agressiva|risco de dados |N|
236|vítima: autor do relato|mensagem traduzida|recentemente|canal desconhecido|texto genérico|golpe internacional |N|
237|vítima: autor do relato|golpe do ""investigador""|recentemente|ligação familiar|pagamento por provas|ameaça implícita" |S|outros cibercrimes
238|vítima: autor do relato|comprador suspeito|recentemente|OLX|interesse em desconto|narrativa inconsistente |N|
239|vítima: autor do relato|golpe clássico|N/A|N/A|tática conhecida|N/A |N|
240|vítima: namorado do autor|tendência a golpes|recorrente|vários meios|falta de desconfiança|risco constante |N|
241|vítima: autor do relato|golpe em brechó|recentemente|Instagram|pagamento parcelado|desaparecimento |N|
242|vítima: autor do relato|ligações diárias|constante|telefone|golpes variados|ineficácia de bloqueio |S|outros cibercrimes
243|vítima: mãe do autor|e-mail de desconto|recentemente|e-mail|empresa inexistente|assinatura fraudulenta |S|outros cibercrimes
244|vítima: autor do relato|ligações de benefícios|recorrente|telefone|dados vazados|pedido de cartão |S|outros cibercrimes
245|vítima: autor do relato|venda de carro|pretendido|Carteira Digital DT|transferência digital|risco de fraude |N|
246|vítima: autor do relato|ameaça de cafetina|recentemente|mensagem|dados vazados|extorsão |S|outros cibercrimes
247|vítima: autor do relato|e-mail da Quero Quitar|recentemente|e-mail|débito inexistente|phishing ou cobrança |S|outros cibercrimes
248|vítima: autor do relato|spams persistentes|constante|e-mail|tentativas falhas|N/A |N|
249|vítima: autor do relato|cartão não reconhecido|recentemente|Nubank|empresa desconhecida|risco baixo |S|cibercrime bancario
250|vítima: autor do relato|depósito não identificado|recentemente|Caixa Econômica|seguro-desemprego|sem golpe |S|cibercrime bancario
251||||||
252|a tia da pessoa|golpistas acessaram o WhatsApp da tia e enviaram mensagens pedindo dinheiro aos contatos, usando áudios com a voz da tia|pouco antes de começar as mensagens|WhatsApp|golpista gravou a voz da tia durante uma ligação falsa|golpista ligou fingindo ser da secretaria da Cultura, gravou a voz da tia e usou para enganar os contatos|S|outros cibercrimes
253|homem de 24 anos|foi preso por criar páginas falsas com deepfake de Marcos Mion prometendo descontos no Outback|segunda fase da operação Voice Over, iniciada em janeiro|Instagram e site clone|uso de deepfake e promoção falsa|golpe usava link no Instagram para site clone onde vítimas eram enganadas a enviar Pix |S|cibercrime bancario
254||||||
255|namorado da pessoa|motoboy alegou entrega de encomenda não recebida|hoje de tarde|endereço residencial||motoboy mostrou foto do portão e insistiu que encomenda foi assinada por ""Maria""|N|
256|pessoa em processo de habilitação|autoescola solicitou senha do Gov.br|hoje|grupo da autoescola no WhatsApp||mensagem no grupo pedindo senha do Gov.br para agendamento |S|outros cibercrimes
257|pessoa que doou dinheiro|golpista alegou que Pix puxava dados e tentou extorquir mais dinheiro|depois da doação inicial|WhatsApp||golpista ameaçou vazar dados após receber Pix de 15 reais |S|cibercrime bancario
258||||||
259|vendedor do relógio|comprador quer pagar via Pix e enviar motoboy, mas recusa método seguro da OLX||OLX||comprador insiste em envio por Sedex 10 após combinar entrega em local errado |S|outros cibercrimes
260||||||
261||||||
262|mãe da pessoa|compra em site falso de queijos|após a compra|site ""Queijo de Minas Gerais""|preços baixos e site não verificado|site pede muitos dados pessoais para cancelamento|S|outros cibercrimes
263||||||
264||||||
265|mãe da pessoa|dados da conta gov.br foram alterados por golpistas||gov.br|brecha no sistema|golpistas alteraram senha e e-mail sem necessidade de reconhecimento facial |S|outros cibercrimes
266||||||
267|empresa onde a pessoa trabalha|número de telefone da empresa foi alterado no Google sem autorização||Google|brecha no sistema|golpistas alteraram número no Google para desviar ligações |S|outros cibercrimes
268||||||
269|comprador na OLX|golpista anuncia produto em vários estados e recusa método seguro da OLX||OLX||golpista combina entrega em local errado e insiste em Sedex 10 |S|outros cibercrimes
270|vendedor do teclado|comprador pede fotos, vídeos e número de série do teclado||OLX||comprador alega que quer verificar autenticidade do produto|N|
271||||||
272||||||
273|pessoa que depositou dinheiro|cadastro em site falso de cassino usando deepfake|sábado|site falso da UP bet|promoção falsa de dobra de banca|golpe usou link enviado em grupo de cassino no Telegram |S|outros cibercrimes
274|pessoa que comprou em leilão|compra em site falso de leilão de celular||site de leilão no Google Notícias||pagamento realizado sem entrega do produto |S|outros cibercrimes
275|mulher que recebeu ligação|ligação de número privado com abordagem inadequada|enquanto trabalhava|ligação telefônica||homem fez comentários inapropriados e desligou após resposta grossa|N|
276||||||
277|cliente do Uber Mercado|entregador substituiu itens por ""Aaa"" e aprovou sem consentimento|hoje de tarde|Uber Mercado||entregador alterou itens do pedido e justificou com erro no sistema|N|
278||||||
279||||||
280||||||
281||||||
282||||||
283||||||
284||||||
285||||||
286||||||
287||||||
288||||||
289|pessoa que emprestou celular|homem usou celular para ligar para contato salvo como ""namorada""|hoje|shopping||homem fingiu ligar para namorada, mas contato não era dela|N|
290||||||
291||||||
292||||||
293||||||
294||||||
295||||||
296||||||
297||||||
298||||||
299||||||
300||||||
301||||||
302|pessoa que pediu conta no Privacy|alguém pedindo para criar conta no Privacy e perguntando se tem R$20|||pedido suspeito de criação de conta e solicitação de dinheiro|N|
303|vendedor da placa de vídeo|comprador no Mercado Livre pode alegar defeito na placa para devolução|hoje|Mercado Livre||comprador fez compra e enviou mensagens suspeitas após a confirmação|N|
304|comprador do PS4|status da entrega está como ""Pendente"" na OLX|desde 5/5|OLX||vendedor enviou produto, mas status não foi atualizado|N|
305|cliente do iFood|entregadores não entregam pedidos e alegam tentativa de golpe|desde Abril|iFood||entregadores não tocam interfone e deixam pedido sem entrega|N|
306|pessoa que recebeu e-mail|e-mail suspeito sobre importação com link malicioso||e-mail||mensagem não solicitada com link suspeito |S|outros cibercrimes
307|comprador do carro|carro com número de motor irregular e documento inconsistente|após uma semana da venda|||vendedor original não resolve problema do motor|N|
308|cliente da XP|vazamento de dados da XP expôs informações financeiras||XP|falha de segurança da corretora|dados vazados incluíam saldos de contas |S|cibercrime bancario
309|compradora da mochila|loja online sumiu após compra no Mercado Shops|mês passado|site da papelaria|site duplicado ou golpe|links da compra não funcionam mais |S|outros cibercrimes
310|pessoa que recebeu mensagem|mensagem falsa sobre taxação de importação|||dados pessoais vazados|golpista usou nome e endereço da vítima |S|outros cibercrimes
311|cliente do Itaú|SMS sobre compra negada que não consta no app||Itaú||mensagem suspeita fora do horário de atividade |S|cibercrime bancario
312|cliente do iFood|entregador alega assalto e pede Pix para reembolso||iFood/WhatsApp||golpe usando situação de emergência falsa |S|outros cibercrimes
313|pessoa que recebeu mensagem|mensagem falsa sobre taxação com CNPJ verificado||WhatsApp|dados vazados|golpista usou informações pessoais |S|outros cibercrimes
314|amigo que recebeu Pix|Pix de valor alto alegando engano|||possível golpe de Pix agendado|golpista pede devolução de valor não confirmado |S|cibercrime bancario
315||||||
316||||||
317|pessoa abordada no restaurante|homem alega que vítima tirou foto e pede para ver celular||bairro de alto padrão||tentativa de roubo com desculpa falsa|N|
318|cliente da Caixa|descontos mensais de R$0,05 na conta|últimos 5 anos|Caixa Tem||possível cobrança indevida em massa|N|
319|vendedor da HQ|comprador quer negociar entrega diretamente|||opção suspeita de entrega fora da plataforma|N|
320||||||
321|compradora no Mercado Livre|e-mail suspeito sobre entrega não realizada||Mercado Livre||mensagem não relacionada ao e-mail da conta |S|outros cibercrimes
322|cliente do iFood|entregador pede Pix após alegar assalto||iFood/WhatsApp||golpe usando situação falsa de emergência |S|outros cibercrimes
323|cliente da Oi Fibra|golpistas recolheram equipamento antes do agendamento|26/04|Oi Fibra|vazamento de dados|contato falso confirmou retirada antecipada |S|outros cibercrimes
324|pessoa que viu anúncio|ingressos com limite falso e pagamento apenas por Pix||Facebook|anúncio sem comentários|site suspeito com urgência artificial |S|outros cibercrimes
325|pessoa que recebeu mensagem|mensagem sobre Pix não recebido pedindo devolução|||golpe com apelo emocional|golpista usa informações limitadas |S|cibercrime bancario
326|comprador online|loja com preços baixos e avaliações suspeitas||site de compras|avaliações possivelmente forjadas|diferença gritante de preços |S|outros cibercrimes
327||||||
328||||||
329|cliente de energia elétrica|ligação suspeita pedindo dados pessoais||telefone|dados vazados|golpista usou informações corretas para ganhar confiança |S|outros cibercrimes
330|namorada da pessoa|golpe de concurso falso do INSS||site falso|página clonada do G1/INSS|pagamento de taxa e imposto inexistentes |S|outros cibercrimes
331|mãe da pessoa|golpe de ""missões"" com promessa de reembolso||TikTok/WhatsApp|promessa de ganho fácil|vítima enviou grandes quantias sem retorno|S|outros cibercrimes
332|pessoa que recebeu Pix|Pix não solicitado de empresa desconhecida||||possível golpe ou erro de transferência |S|cibercrime bancario
333|empresa desenvolvedora de softwares de segurança cibernética ESET, público brasileiro|malwares bancários (trojans, worms, backdoor), prejuízos não especificados|três primeiros meses de 2025|sistemas infectados, internet|vulnerabilidades em softwares, usuários que baixam arquivos duvidosos|malwares se disfarçam de programas legítimos, capturam telas, emulam teclado/mouse, baixam outros arquivos maliciosos, manipulam tráfego, se replicam, exploram vulnerabilidades conhecidas |S|outros cibercrimes
334|adolescentes, grupo suspeito utilizando plataformas digitais|práticas de automutilação, suicídio, planejamento de ataques a escolas, escravização virtual|nesta quinta-feira (19)|plataformas digitais|coação de adolescentes, exploração de vulnerabilidades emocionais|utilização de plataformas digitais para coagir e compartilhar conteúdos íntimos, esquemas de escravização virtual |N|
335|vítimas de abuso sexual e pornografia infantil, usuários do Telegram no Brasil|comercialização e compartilhamento de imagens de abuso sexual e pornografia infantil|nesta semana (data não especificada)|Telegram (grupos, canais e comunidades)|falta de moderação efetiva, uso de criptomoedas e fintechs internacionais para pagamentos|grupos no Telegram compartilham e vendem conteúdo criminoso, moderadores e IA insuficientes para coibir totalmente a prática |N|
336|vítimas de fraude no reconhecimento facial, golpistas cibernéticos|fraude no reconhecimento facial para desvio de valores, prejuízo de R$ 251 mil|nesta sexta-feira (18)|instituições financeiras (sistemas de reconhecimento facial)|vulnerabilidade no sistema de reconhecimento facial|golpistas usaram fotos dos rostos das vítimas (""bonecos"") para burlar o reconhecimento facial" |S|cibercrime bancario
337|homens ao redor da Ásia (Taiwan, Cingapura, Índia), golpistas usando deepfake|golpe amoroso com deepfake, prejuízo de US$ 46 milhões|na segunda-feira (14)|plataforma falsa de criptomoeda, chamadas de vídeo com deepfake|vítimas enganadas por identidades falsas e intimidade construída online|uso de deepfake em vídeo/áudio, criação de plataforma falsa de criptomoeda, manipulação emocional das vítimas   |S|outros cibercrimes
338|vítimas de crimes cibernéticos no Amazonas|estelionato, invasão de dispositivo informático, ameaça, falsa identidade|entre janeiro e agosto de 2024|dispositivos informáticos, internet|aumento da vulnerabilidade digital, falta de conscientização|técnicas variadas de golpes online, como phishing, invasão de sistemas e falsificação de identidade |S|outros cibercrimes
339|moradores do estado da região Norte (Pará), 32 suspeitos presos|falsos leilões de veículos, golpes em plataformas de vendas, clonagem de WhatsApp, crimes contra vulneráveis|não especificado (durante a Operação Guardião)|redes sociais, plataformas de vendas, WhatsApp|vulnerabilidade dos usuários em transações online, falta de verificação em plataformas|replicação de sites legítimos, falsificação de anúncios, invasão de contas, clonagem de WhatsApp   |S|outros cibercrimes
340|Hasan Rabee (repatriado de Gaza), autores das ameaças|ameaças de execução, injúria racial, difamação, calúnia|desde o retorno ao Brasil (quarta-feira, 15)|redes sociais|polarização política, preconceito contra palestinos|mensagens de ódio e ameaças via redes sociais, associação indevida a conflitos políticos |S|outros cibercrimes
341|Ministério da Justiça e Segurança Pública, plataformas de redes sociais e streaming|criação de programa contra crimes cibernéticos infantojuvenis, recebimento de denúncias|nesta segunda-feira (16)|site ""De boa na rede"", redes sociais, serviços de streaming|exposição de crianças e adolescentes a conteúdos nocivos na internet|ferramentas de controle parental, tutoriais de monitoramento, parceria com empresas de tecnologia  " |N|
342|vítimas de fraudes cibernéticas, FBI e agências europeias|desmantelamento de rede de computadores hackeados, apreensão de US$ 8 milhões em criptomoedas|na terça-feira (29)|botnet Qakbot, computadores infectados globalmente|vulnerabilidades em sistemas exploradas por malware|uso de Qakbot para ransomware, remoção de malware por autoridades, recompensa por informações sobre hackers |S|cibercrime bancario
343|vítimas de violência contra mulheres no Rio de Janeiro|25% dos casos de violência contra mulheres ocorreram no ambiente virtual|entre janeiro e agosto deste ano|ambiente virtual (redes sociais, mensagens, etc.)|vulnerabilidade de mulheres a abusos online|violência digital, incluindo assédio, ameaças e difamação   |S|outros cibercrimes
344|crianças e adolescentes, pais/responsáveis|lançamento de ferramenta de monitoramento parental no Discord|hoje (12)|plataforma Discord|exposição de menores a conteúdos criminosos e extremistas|Central da Família monitora interações sem acessar mensagens privadas |N|
345|vítimas de abuso sexual infantojuvenil, Polícia Federal|armazenamento e compartilhamento de arquivos de abuso sexual infantojuvenil, 106 prisões|entre 1º de janeiro e a primeira semana de maio deste ano|aplicativos de mensagens, redes sociais, celulares|vulnerabilidade de crianças e adolescentes a exploração online|operações policiais com base em denúncias de provedores como Facebook, Instagram, WhatsApp, etc. |S|outros cibercrimes
347|vítimas do serviço Atomic Wallet, hackers norte-coreanos|roubo de pelo menos US$ 35 milhões em criptomoedas|na terça-feira (6)|serviço de criptomoedas Atomic Wallet|vulnerabilidades no serviço de criptomoedas|hackers usaram técnicas de lavagem de dinheiro e ferramentas associadas à Coreia do Norte |S|cibercrime bancario
348|pacientes e funcionários do Idaho Falls Community Hospital, hackers (possivelmente ransomware)|ataque cibernético afetando sistemas hospitalares, desvio de ambulâncias|na segunda-feira (29)|Idaho Falls Community Hospital e Mountain View Hospital|sistemas hospitalares vulneráveis a ciberataques|ataque possivelmente envolvendo ransomware, forçando uso de registros em papel |S|outros cibercrimes
349|famílias e memória de Marília Mendonça e Gabriel Diniz, André Felipe de Souza Alves Pereira|divulgação de fotos dos corpos, crimes de ódio (nazismo, racismo, xenofobia), incitação à violência escolar|entre junho de 2022 e abril de 2023|redes sociais (Twitter, etc.)|discurso de ódio e exploração de tragédias para disseminar terror|publicação de conteúdo ofensivo, uso de identidade falsa, incentivo a ataques em escolas |S|outros cibercrimes
350|famílias de Marília Mendonça, Gabriel Diniz e Cristiano Araújo, homem de 22 anos preso|divulgação ilegal de fotos e vídeos dos corpos dos artistas mortos|nesta segunda-feira (17)|Twitter e redes sociais|falta de controle sobre imagens sensíveis e desrespeito à memória das vítimas|compartilhamento indiscriminado de conteúdo obtido ilegalmente |S|outros cibercrimes
351|vítimas de crimes cibernéticos, países signatários da Convenção|promulgação da Convenção sobre o Crime Cibernético para reforçar a proteção de dados e cooperação internacional|na semana passada (sem data específica)|âmbito internacional (internet, dispositivos digitais)|vulnerabilidades em sistemas e falta de legislação harmonizada|estabelecimento de crimes cibernéticos, troca de informações entre países, persecução penal |N|
352|Superior Tribunal Militar (STM), tenente brigadeiro Francisco Joseli Parente Camelo|ataque cibernético de negação de serviço (DDoS) ao portal do STM|16 de março|portal do STM (sistema online)|vulnerabilidade de sistemas judiciais a sobrecarga de acessos|ataque com robôs gerando 1,8 milhão de requisições para derrubar o portal |S|outros cibercrimes
353|potenciais vítimas de phishing e desinformação, criminosos cibernéticos|uso indevido do ChatGPT para phishing, desinformação e criação de códigos maliciosos|nesta segunda-feira (27)|plataforma ChatGPT e outras ferramentas de IA|vulnerabilidades na verificação de conteúdo gerado por IA|exploração do ChatGPT para textos realistas, propagação de narrativas falsas e geração de códigos maliciosos |S|outros cibercrimes
354|vítimas de crimes cibernéticos (crianças, adolescentes, instituições financeiras), Polícia Federal|combate a crimes sexuais infantis e fraudes bancárias com novas tecnologias|não especificado (projetos em andamento)|ambiente digital (internet, sistemas bancários, redes criminosas)|crescimento e sofisticação dos crimes cibernéticos|uso de ferramentas tecnológicas avançadas, cooperação internacional, cruzamento de dados |S|outros cibercrimes
355|vítimas de golpes financeiros, criminosos usando identidade de empresas/escritórios|golpe do Pix via WhatsApp com falsificação de identidade empresarial|casos recentes (sem data exata)|WhatsApp (canal de comunicação)|vazamento de dados sigilosos e falta de verificação de identidade|uso de nomes/logotipos de empresas reais, envio de documentos falsificados, pressão por transferências via Pix |S|cibercrime bancario
357|portadores de cartões de crédito, grupo hacker Prilex|fraude em pagamentos por aproximação forçando inserção do cartão em máquinas infectadas|versões identificadas desde novembro de 2022|máquinas de cartão infectadas|exploração de vulnerabilidades em sistemas de pagamento|instalação de vírus via falsas atualizações, bloqueio seletivo de transações por aproximação, roubo de dados ao inserir o cartão |S|cibercrime bancario
358|usuários do Bilhete Único (13 milhões de cadastros), SPTrans|vazamento de dados cadastrais sensíveis de usuários|dados referentes a abril/2020, ataque identificado em 15/06|sistemas da SPTrans|vulnerabilidades nos sistemas de proteção de dados|ataque cibernético resultando em exposição de informações pessoais e credenciais de acesso |S|outros cibercrimes
359|vítimas de stalking (perseguição), Apple (fabricante do AirTag)|uso indevido do AirTag para perseguição e rastreamento não consentido|processo judicial apresentado em 5/12 (sem ano especificado)|dispositivos AirTag (geolocalização via Bluetooth)|falta de alertas eficazes contra rastreamento abusivo|dispositivo originalmente projetado para localizar objetos, mas usado para monitorar pessoas sem consentimento |S|outros cibercrimes
